iter	Passed	Remaining
877	60032	8341
878	60115	8275
879	60184	8207
880	60248	8138
881	60320	8070
882	60408	8004
883	60473	7935
884	60539	7866
885	60620	7799
886	60685	7731
887	60752	7662
888	60839	7596
889	60925	7530
890	61002	7462
891	61081	7395
892	61153	7327
893	61258	7263
894	61335	7195
895	61400	7126
896	61466	7058
897	61545	6990
898	61605	6921
899	61673	6852
900	61739	6783
901	61807	6715
902	61884	6647
903	61968	6580
904	62033	6511
905	62095	6442
906	62177	6375
907	62240	6306
908	62314	6238
909	62412	6172
910	62473	6103
911	62559	6036
912	62646	5969
913	62711	5900
914	62781	5832
915	62854	5763
916	62922	5695
917	62986	5626
918	63057	5557
919	63134	5489
920	63192	5420
921	63273	5352
922	63367	5286
923	63441	5218
924	63507	5149
925	63578	5080
926	63680	5014
927	63777	4948
928	63841	4879
929	63917	4811
930	63988	4742
931	64051	4673
932	64113	4604
933	64202	4536
934	64278	4468
935	64352	4400
936	64431	4332
937	64491	4262
938	64567	4194
939	64639	4125
940	64711	4057
941	64777	3988
942	64852	3920
943	64916	3851
944	64987	3782
945	65096	3715
946	65168	3647
947	65261	3579
948	65324	3510
949	65397	3441
950	65464	3373
951	65527	3303
952	65587	3234
953	65665	3166
954	65728	3097
955	65785	3027
956	65867	2959
957	65933	2890
958	65997	2821
959	66065	2752
960	66130	2683
961	66212	2615
962	66295	2547
963	66366	2478
964	66428	2409
965	66499	2340
966	66562	2271
967	66620	2202
968	66695	2133
969	66753	2064
970	66837	1996
971	66904	1927
972	66965	1858
973	67027	1789
974	67105	1720
975	67183	1652
976	67276	1583
977	67350	1515
978	67416	1446
979	67500	1377
980	67598	1309
981	67669	1240
982	67756	1171
983	67815	1102
984	67880	1033
985	67960	964
986	68065	896
987	68124	827
988	68233	758
989	68301	689
990	68372	620
991	68429	551
992	68508	482
993	68571	413
994	68640	344
995	68755	276
996	68817	207
997	68891	138
998	68963	69
999	69048	0
